CO(GT),C6H6(GT),NOx(GT),NO2(GT),anomaly
2.2,8.8,152,119,1
1.8,7.4,104,99,1
1.8,6.9,106,93,1
1.8,7.0,108,88,1
1.1,4.4,-200,-200,1
-200.0,4.0,66,71,1
1.0,3.9,88,74,1
1.4,6.4,138,80,1
2.2,9.7,228,89,1
5.5,25.9,360,114,1
8.1,36.7,478,149,1
5.8,26.6,394,157,1
4.2,20.1,319,155,1
3.1,14.1,201,134,1
2.9,14.9,171,119,1
2.9,15.4,159,111,1
2.5,12.1,153,104,1
2.3,11.5,143,99,1
2.8,14.8,156,110,1
6.1,32.1,314,162,1
8.0,39.2,404,187,1
6.5,31.0,320,165,1
4.2,19.9,256,145,1
3.2,15.3,193,125,1
1.4,6.9,89,101,1
2.1,11.1,127,103,1
1.2,5.4,79,88,1
0.8,2.8,43,61,1
0.7,2.3,-200,-200,1
-200.0,2.6,59,59,1
0.6,2.0,38,52,1
0.9,3.5,82,64,1
1.3,5.1,99,70,1
3.4,16.2,263,97,1
3.7,19.7,229,95,1
5.3,25.1,396,150,1
4.1,20.0,314,162,1
3.3,18.3,217,154,1
4.0,22.3,252,161,1
3.8,20.4,263,161,1
2.8,14.6,180,128,1
2.9,16.6,184,129,1
2.9,15.8,190,133,1
3.4,17.8,184,139,1
3.9,19.1,181,137,1
3.2,15.8,166,143,1
5.1,24.9,317,177,1
2.6,13.5,184,138,1
1.7,9.1,130,117,1
1.7,8.6,132,107,1
1.2,5.4,95,90,1
0.9,4.1,70,79,1
0.7,2.6,-200,-200,1
-200.0,1.9,54,60,1
0.5,1.6,28,40,1
0.5,1.9,46,53,1
1.6,7.5,160,84,1
4.1,21.4,320,108,1
6.6,36.4,377,127,1
4.3,21.3,280,134,1
2.9,15.4,221,135,1
2.5,12.5,210,142,1
2.8,15.1,204,153,1
2.6,13.7,161,123,1
2.0,10.4,135,104,1
2.9,15.2,186,129,1
2.5,12.3,147,114,1
5.0,27.0,299,158,1
7.6,38.4,411,194,1
6.7,35.1,347,182,1
5.7,27.2,336,180,1
2.8,15.0,202,136,1
2.6,15.7,178,127,1
2.3,13.0,154,116,1
1.4,8.1,92,107,1
1.0,5.5,61,88,1
0.7,3.6,-200,-200,1
-200.0,2.9,60,78,1
0.6,2.5,37,57,1
0.7,3.0,68,71,1
1.5,7.7,139,85,1
4.7,23.3,339,124,1
6.6,35.8,421,151,1
4.5,21.3,349,150,1
2.8,14.3,224,152,1
2.2,12.5,171,139,1
2.2,12.2,149,133,1
2.3,13.1,137,126,1
2.2,14.4,149,128,1
2.8,16.8,172,169,1
2.7,14.5,166,149,1
3.7,21.5,214,156,1
5.1,26.4,280,168,1
5.1,26.0,276,176,1
3.2,14.1,178,135,1
2.1,10.3,129,121,1
1.7,8.3,95,99,1
2.0,8.9,126,106,1
1.6,6.6,103,96,1
0.9,3.6,48,63,1
0.7,2.5,-200,-200,1
-200.0,1.8,20,32,1
0.5,1.3,18,28,1
0.7,2.3,56,61,1
1.5,6.7,115,99,1
4.8,22.8,320,157,1
6.2,31.3,357,166,1
4.0,19.2,253,149,1
3.3,16.4,218,135,1
2.8,14.0,192,127,1
3.0,15.3,176,122,1
3.3,16.7,198,135,1
3.5,19.0,212,139,1
4.0,19.4,249,147,1
4.6,20.9,270,158,1
4.1,20.2,231,146,1
4.5,21.7,251,144,1
3.9,19.8,210,138,1
4.0,16.7,249,143,1
2.2,9.1,143,116,1
2.1,8.3,127,109,1
1.7,5.8,104,92,1
1.6,5.2,86,83,1
1.3,4.1,74,81,1
1.3,3.4,-200,-200,1
-200.0,2.9,44,55,1
0.8,3.1,42,53,1
0.8,2.5,63,67,1
1.1,4.3,115,91,1
2.1,8.9,170,113,1
2.4,10.5,147,102,1
2.6,12.5,166,107,1
2.8,12.3,195,113,1
2.6,11.7,182,108,1
2.6,11.7,168,105,1
2.1,9.3,125,93,1
1.7,7.6,95,87,1
1.6,6.7,79,76,1
2.1,9.7,119,94,1
2.3,12.4,142,110,1
3.5,16.6,215,136,1
3.9,16.4,229,139,1
3.3,13.7,206,125,1
2.3,9.9,147,111,1
2.1,8.9,122,97,1
2.8,10.6,175,107,1
2.1,7.4,133,90,1
1.6,6.2,89,84,1
1.6,6.5,-200,-200,1
-200.0,5.8,85,87,1
1.1,4.0,55,66,1
0.7,2.1,24,36,1
0.8,3.6,72,62,1
1.2,4.4,122,91,1
1.4,5.4,111,89,1
1.7,7.1,123,93,1
1.8,7.3,106,81,1
1.8,7.6,103,82,1
1.9,6.8,102,80,1
1.3,4.6,48,48,1
1.6,8.4,63,61,1
1.9,6.9,98,89,1
2.3,9.0,132,105,1
3.8,15.1,173,116,1
3.5,12.6,185,119,1
4.3,15.1,266,144,1
2.8,9.9,188,123,1
1.9,8.0,122,105,1
1.9,7.9,112,93,1
1.7,6.1,93,86,1
1.5,5.1,74,76,1
0.6,1.7,23,33,1
0.4,0.7,-200,-200,1
-200.0,0.8,17,27,1
0.3,0.7,15,23,1
0.6,2.0,41,46,1
1.2,5.1,86,76,1
3.6,17.7,226,116,1
3.7,18.4,214,115,1
1.8,6.9,115,83,1
1.6,7.3,124,87,1
1.9,9.6,122,90,1
2.0,10.4,107,87,1
2.2,11.2,133,99,1
2.1,10.7,130,99,1
2.3,11.6,150,101,1
2.6,12.4,138,103,1
3.8,18.3,213,129,1
4.4,21.0,232,143,1
4.5,21.0,238,146,1
3.3,14.5,180,124,1
2.0,8.4,128,113,1
1.1,4.3,65,80,1
0.9,3.8,53,72,1
0.8,2.7,47,64,1
0.7,2.5,51,70,1
0.5,1.2,-200,-200,1
-200.0,0.8,20,31,1
0.3,0.6,13,22,1
0.5,1.8,33,47,1
1.1,4.6,103,88,1
3.0,14.2,224,130,1
3.8,21.0,244,132,1
3.4,16.2,237,132,1
3.0,15.5,220,131,1
2.7,13.4,207,129,1
3.5,16.9,208,132,1
2.8,12.4,160,110,1
1.9,10.1,131,99,1
2.0,8.7,128,100,1
3.0,13.8,176,122,1
1.9,9.3,107,97,1
2.7,13.0,131,112,1
3.3,14.3,166,128,1
1.7,7.6,89,101,1
1.3,5.3,81,96,1
1.3,5.4,78,86,1
1.2,4.9,70,85,1
1.1,4.6,76,79,1
0.9,2.7,43,61,1
0.6,1.6,-200,-200,1
-200.0,1.7,44,66,1
0.6,1.2,34,54,1
0.8,1.7,43,57,1
1.2,4.8,79,75,1
3.1,13.8,174,97,1
4.4,23.7,235,110,1
3.4,14.2,218,113,1
1.7,8.0,136,88,1
1.5,6.7,117,85,1
1.7,8.7,119,96,1
2.2,10.8,126,106,1
-200.0,6.7,100,91,1
2.7,11.4,197,126,1
2.8,13.4,195,130,1
2.7,12.0,156,111,1
4.5,20.2,247,134,1
3.5,14.4,190,136,1
2.6,9.4,169,125,1
1.7,5.9,118,108,1
1.3,4.5,81,87,1
1.3,4.5,80,89,1
1.0,2.5,42,58,1
0.7,1.8,38,54,1
0.7,1.4,-200,-200,1
0.5,0.9,18,28,1
0.5,0.6,12,20,1
0.6,1.4,43,51,1
1.1,3.8,84,82,1
2.7,11.6,184,112,1
3.5,17.8,202,119,1
2.3,8.8,133,99,1
1.6,6.8,130,98,1
1.3,5.9,106,88,1
2.0,8.9,132,96,1
1.9,8.2,106,81,1
1.9,8.6,125,92,1
2.2,10.1,138,105,1
2.0,9.4,120,88,1
2.9,14.6,158,103,1
5.2,24.6,253,141,1
4.6,21.6,231,133,1
2.5,10.3,150,119,1
1.5,5.7,99,106,1
1.2,4.5,75,92,1
1.7,5.5,93,97,1
1.4,4.8,79,91,1
1.2,3.6,67,83,1
0.6,1.7,-200,-200,1
0.7,2.2,45,59,1
0.8,3.0,72,73,1
0.9,4.0,103,78,1
1.6,6.7,132,90,1
3.4,16.7,239,110,1
3.8,19.3,275,114,1
3.1,14.8,232,119,1
2.7,13.4,180,121,1
2.0,11.0,112,97,1
2.3,12.5,116,99,1
1.9,8.4,103,85,1
1.3,5.3,89,75,1
1.9,8.8,112,87,1
2.3,11.2,127,102,1
2.4,11.6,125,105,1
2.7,12.4,120,98,1
2.6,10.6,120,93,1
1.5,6.0,99,91,1
1.2,4.6,79,85,1
1.1,4.1,66,74,1
1.5,5.2,94,87,1
1.0,3.2,70,79,1
1.2,4.5,75,78,1
1.1,3.8,-200,-200,1
-200.0,3.8,57,63,1
0.8,1.9,32,48,1
0.9,2.4,54,59,1
1.1,3.3,68,65,1
1.5,6.7,98,71,1
1.8,8.5,128,84,1
2.1,9.7,129,93,1
2.1,9.4,130,99,1
1.9,9.0,111,93,1
2.1,10.0,106,96,1
2.5,12.6,137,114,1
1.9,7.6,113,101,1
2.2,11.8,122,108,1
2.3,11.2,137,117,1
2.7,12.4,165,125,1
3.0,12.9,196,133,1
2.8,12.2,174,119,1
2.2,8.8,140,107,1
1.6,6.8,102,96,1
2.1,8.6,130,105,1
2.3,8.9,121,102,1
2.3,8.3,111,97,1
1.7,6.3,87,79,1
2.2,8.3,-200,-200,1
1.3,5.1,77,69,1
0.8,2.6,39,52,1
1.1,3.6,77,62,1
1.4,3.6,91,69,1
1.3,4.7,105,75,1
1.9,7.5,133,83,1
2.3,9.0,128,94,1
2.3,9.5,126,96,1
1.8,7.7,92,86,1
1.4,5.7,66,72,1
1.0,3.8,50,53,1
1.4,4.8,70,65,1
1.3,4.3,73,70,1
1.3,4.1,77,75,1
1.4,4.7,86,86,1
1.9,6.2,93,94,1
1.8,5.5,105,103,1
1.1,3.3,67,81,1
1.1,3.2,63,80,1
1.1,2.9,63,77,1
0.9,2.2,46,58,1
0.6,1.3,21,31,1
0.5,1.1,22,38,1
0.7,1.3,-200,-200,1
0.6,1.2,39,59,1
0.7,1.7,55,70,1
0.9,2.9,76,75,1
2.9,14.3,181,103,1
4.1,19.7,259,134,1
1.5,5.5,118,98,1
1.5,5.6,119,97,1
1.5,5.8,123,98,1
1.4,5.5,92,78,1
1.6,6.5,91,83,1
1.5,5.5,103,92,1
1.4,5.2,102,81,1
1.5,5.8,94,90,1
1.9,7.9,98,95,1
2.5,10.2,126,114,1
2.1,8.2,108,106,1
1.6,5.7,95,99,1
1.2,3.8,78,90,1
1.1,4.0,61,82,1
1.0,2.8,55,74,1
1.0,2.6,57,76,1
0.7,1.8,41,66,1
0.7,1.7,46,73,1
0.8,1.4,-200,-200,1
-200.0,1.3,41,69,1
0.7,2.3,52,71,1
1.1,5.3,111,98,1
2.6,13.4,191,115,1
4.0,23.8,244,130,1
4.2,21.5,283,150,1
4.7,21.0,320,159,1
3.9,18.4,249,146,1
3.7,18.9,219,138,1
3.4,17.1,200,128,1
2.2,10.4,138,97,1
1.9,8.0,118,91,1
1.6,6.2,99,81,1
2.1,9.7,112,99,1
2.2,9.6,117,101,1
2.7,11.9,129,106,1
2.4,8.7,132,102,1
1.3,4.7,73,84,1
1.2,3.8,68,81,1
1.5,4.7,80,91,1
1.3,3.8,68,82,1
1.0,2.7,44,64,1
0.9,2.8,47,70,1
0.5,1.0,-200,-200,1
0.5,0.8,15,26,1
0.6,1.5,44,58,1
1.0,3.5,85,93,1
3.1,15.6,207,110,1
4.1,19.9,230,115,1
2.2,8.6,181,125,1
1.7,6.5,144,118,1
1.9,7.7,140,109,1
2.9,11.3,204,123,1
2.2,9.1,149,114,1
2.6,11.2,171,114,1
3.1,13.5,195,119,1
2.3,10.1,152,111,1
2.4,11.3,128,103,1
2.8,11.8,121,103,1
2.7,11.5,142,107,1
2.3,9.3,131,105,1
1.5,5.5,81,91,1
1.4,5.1,60,79,1
1.2,4.8,57,79,1
1.6,6.3,96,86,1
1.2,5.1,85,70,1
1.1,4.1,50,55,1
0.9,4.0,-200,-200,1
0.7,2.4,57,49,1
0.9,2.9,64,50,1
1.7,7.4,153,67,1
4.2,19.8,342,94,1
6.2,31.9,378,119,1
4.6,21.0,304,139,1
2.8,11.7,192,113,1
1.6,6.8,130,88,1
1.7,7.4,106,73,1
1.7,8.6,102,73,1
1.7,-200.0,99,72,1
1.9,-200.0,108,81,1
2.3,-200.0,131,93,1
3.3,16.4,163,106,1
4.2,21.2,211,132,1
5.5,25.0,267,164,1
4.9,20.2,269,161,1
2.5,10.8,154,124,1
2.0,9.9,127,113,1
2.0,8.5,122,103,1
2.0,8.0,126,104,1
1.3,5.6,84,93,1
1.0,3.2,58,60,1
0.9,3.3,-200,-200,1
-200.0,2.8,37,52,1
0.7,2.6,56,66,1
1.1,4.3,91,82,1
2.6,13.0,159,109,1
3.9,20.3,190,114,1
5.0,20.7,249,139,1
3.3,15.9,196,127,1
2.9,14.2,180,127,1
3.1,15.9,167,135,1
3.0,16.1,159,130,1
2.7,14.7,152,126,1
2.7,14.0,149,121,1
2.6,13.6,143,122,1
3.7,19.7,185,138,1
4.5,23.3,223,165,1
4.7,24.1,215,154,1
5.5,25.4,271,168,1
3.0,14.1,180,146,1
1.9,10.1,115,124,1
2.3,12.1,149,124,1
1.6,9.0,98,106,1
1.3,6.3,73,88,1
1.2,5.3,69,83,1
0.9,3.8,-200,-200,1
0.8,3.0,60,74,1
0.8,3.3,56,64,1
0.9,3.5,73,69,1
2.0,9.5,159,91,1
3.0,15.2,203,96,1
3.1,14.3,211,106,1
-200.0,11.2,-200,-200,1
-200.0,11.4,-200,-200,1
-200.0,13.4,-200,-200,1
-200.0,10.6,-200,-200,1
-200.0,10.8,-200,-200,1
-200.0,11.9,-200,-200,1
-200.0,13.5,-200,-200,1
-200.0,15.2,-200,-200,1
-200.0,17.1,-200,-200,1
-200.0,26.7,-200,-200,1
-200.0,14.2,-200,-200,1
-200.0,8.5,-200,-200,1
-200.0,14.3,-200,-200,1
-200.0,9.3,-200,-200,1
-200.0,7.8,-200,-200,1
-200.0,6.7,-200,-200,1
-200.0,5.4,-200,-200,1
-200.0,5.6,-200,-200,1
-200.0,3.5,-200,-200,1
-200.0,3.0,-200,-200,1
-200.0,4.4,-200,-200,1
-200.0,3.5,-200,-200,1
-200.0,4.2,-200,-200,1
-200.0,8.0,-200,-200,1
-200.0,9.0,-200,-200,1
-200.0,8.1,-200,-200,1
-200.0,8.6,-200,-200,1
-200.0,7.1,-200,-200,1
-200.0,5.6,-200,-200,1
-200.0,10.0,-200,-200,1
-200.0,10.5,-200,-200,1
-200.0,10.1,-200,-200,1
-200.0,10.0,-200,-200,1
-200.0,13.0,-200,-200,1
-200.0,10.5,-200,-200,1
-200.0,5.2,-200,-200,1
-200.0,6.9,-200,-200,1
-200.0,6.4,-200,-200,1
-200.0,4.7,-200,-200,1
-200.0,2.4,-200,-200,1
-200.0,2.2,-200,-200,1
-200.0,1.1,-200,-200,1
-200.0,0.9,-200,-200,1
-200.0,3.1,-200,-200,1
-200.0,6.2,-200,-200,1
-200.0,13.2,-200,-200,1
-200.0,25.8,-200,-200,1
-200.0,18.2,-200,-200,1
3.1,14.3,236,124,1
3.0,13.7,228,121,1
3.2,15.7,206,114,1
3.1,15.4,188,114,1
2.5,12.6,158,106,1
2.1,9.8,124,89,1
2.0,9.6,98,82,1
3.2,16.3,160,111,1
4.1,19.8,194,132,1
3.9,18.0,174,121,1
3.1,13.6,157,116,1
2.0,8.7,109,100,1
1.7,7.7,85,89,1
1.6,7.3,90,92,1
1.0,4.1,61,71,1
0.8,2.7,36,51,1
0.5,1.5,25,39,1
0.5,1.9,-200,-200,1
0.5,1.8,24,35,1
0.8,3.4,73,64,1
1.7,8.5,164,94,1
4.5,24.1,329,134,1
6.2,33.7,302,129,1
4.4,22.0,256,125,1
2.9,14.1,182,107,1
1.6,7.6,105,78,1
2.6,14.5,136,91,1
2.9,13.6,167,116,1
2.5,11.5,166,131,1
1.9,9.2,115,113,1
1.9,10.3,109,98,1
2.7,14.0,143,116,1
3.0,15.0,159,120,1
3.3,15.1,181,126,1
3.2,14.8,178,126,1
1.8,8.5,91,90,1
1.3,5.9,76,81,1
1.1,4.8,66,74,1
0.9,4.0,56,67,1
0.7,2.3,35,46,1
0.4,1.4,21,30,1
0.3,0.7,-200,-200,1
0.3,0.7,12,19,1
0.3,0.8,22,32,1
0.8,3.6,55,61,1
2.8,12.9,152,111,1
3.1,15.7,153,102,1
2.3,8.6,152,116,1
1.6,7.4,112,96,1
1.5,6.6,119,97,1
1.6,7.8,122,110,1
1.8,9.1,115,103,1
1.4,6.1,84,79,1
1.9,7.5,146,104,1
1.2,5.9,65,69,1
2.3,12.7,120,96,1
3.3,13.5,185,121,1
3.1,14.5,157,129,1
3.3,11.0,174,116,1
1.2,3.2,62,71,1
1.3,4.3,81,85,1
1.9,7.1,118,101,1
1.4,4.8,95,97,1
1.5,5.7,84,89,1
1.1,4.1,56,72,1
0.8,3.3,-200,-200,1
-200.0,1.8,43,57,1
0.8,2.8,69,62,1
1.1,4.8,74,64,1
2.6,13.8,161,80,1
5.1,27.1,308,118,1
4.2,19.1,300,130,1
2.6,11.7,189,113,1
2.4,12.7,164,112,1
2.1,11.3,122,96,1
2.6,14.2,166,125,1
2.8,13.9,181,128,1
2.5,13.2,127,101,1
1.9,10.7,106,95,1
3.6,19.7,192,138,1
4.6,24.0,241,154,1
6.3,29.1,326,171,1
4.3,15.8,232,136,1
1.6,7.0,92,93,1
1.4,6.3,95,99,1
2.0,-200.0,129,106,1
2.4,-200.0,154,109,1
1.8,-200.0,118,97,1
1.0,-200.0,69,83,1
1.0,-200.0,-200,-200,-1
1.0,-200.0,97,79,1
0.9,-200.0,145,84,1
1.5,-200.0,169,86,1
2.6,-200.0,250,111,1
2.9,-200.0,215,117,1
2.7,-200.0,237,122,1
2.4,-200.0,190,119,1
2.6,-200.0,219,121,1
4.1,-200.0,294,127,1
4.3,-200.0,253,135,1
2.2,-200.0,176,119,1
3.4,-200.0,243,137,1
3.6,-200.0,214,139,1
2.5,-200.0,141,117,1
2.8,-200.0,166,127,1
3.4,-200.0,197,137,1
3.0,-200.0,191,127,1
2.1,-200.0,159,107,1
2.4,-200.0,175,102,1
2.3,8.4,157,95,1
1.3,5.4,83,79,1
1.7,6.9,118,78,1
1.7,6.4,101,75,1
1.0,3.6,-200,-200,1
0.8,3.3,46,52,1
1.0,4.0,81,55,1
1.4,6.0,112,65,1
1.7,8.2,150,72,1
2.0,9.9,138,76,1
2.0,8.8,124,84,1
1.9,8.4,124,90,1
2.1,7.5,115,89,1
1.8,7.8,101,87,1
1.5,6.4,90,88,1
1.3,5.1,90,81,1
1.4,6.9,89,89,1
1.5,6.8,92,91,1
1.7,7.4,103,104,1
2.0,8.7,122,111,1
2.5,11.2,159,129,1
2.4,10.5,172,133,1
2.0,8.2,125,115,1
2.9,11.6,187,125,1
2.5,9.7,174,117,1
1.4,5.1,75,84,1
1.2,4.0,48,63,1
1.0,3.7,61,68,1
1.0,4.0,-200,-200,1
-200.0,3.0,38,52,1
0.7,2.9,38,49,1
0.8,2.9,41,49,1
0.9,3.0,51,52,1
1.1,3.7,61,58,1
1.0,3.9,47,51,1
1.6,6.2,87,77,1
1.8,7.3,107,90,1
2.6,9.2,161,118,1
1.1,4.0,61,70,1
0.6,2.3,26,35,1
0.9,3.1,42,46,1
1.0,3.2,55,58,1
1.2,3.3,65,61,1
1.4,4.0,75,80,1
2.0,5.7,93,93,1
1.1,3.4,63,78,1
1.1,3.5,60,76,1
1.1,2.9,63,74,1
1.1,3.1,66,81,1
0.7,1.6,41,58,1
0.6,1.1,42,59,1
0.7,2.0,36,54,1
0.6,1.7,-200,-200,1
0.3,0.7,16,25,1
0.3,0.5,16,26,1
0.4,0.7,33,49,1
0.5,0.9,39,53,1
0.6,1.5,45,57,1
0.8,2.2,63,73,1
1.0,2.9,71,78,1
1.3,3.9,104,93,1
1.1,2.8,85,71,1
0.6,1.4,53,56,1
0.7,1.7,58,60,1
1.2,3.6,89,77,1
1.4,3.1,96,82,1
1.2,3.5,88,77,1
1.3,3.9,100,91,1
1.8,5.2,127,93,1
1.2,3.7,88,82,1
0.8,2.7,66,74,1
0.8,2.6,61,68,1
0.8,2.4,54,65,1
0.7,2.0,46,58,1
0.5,1.3,25,36,1
0.3,1.2,18,29,1
0.4,1.3,-200,-200,1
0.3,0.9,21,28,1
0.7,3.1,76,68,1
1.6,6.9,149,99,1
3.9,19.1,328,130,1
4.5,22.1,282,128,1
2.7,11.8,206,120,1
1.6,7.3,133,93,1
1.6,8.0,137,96,1
1.6,7.2,116,84,1
1.5,7.7,112,87,1
1.8,9.7,128,87,1
2.1,9.8,145,103,1
1.7,7.7,110,88,1
3.0,15.3,184,118,1
4.6,21.5,243,134,1
5.0,21.7,259,144,1
3.5,14.6,205,129,1
2.1,9.3,144,108,1
2.1,9.4,152,104,1
1.5,6.8,108,90,1
1.1,4.9,64,74,1
0.9,3.9,73,73,1
0.7,2.7,47,60,1
0.4,1.9,-200,-200,1
-200.0,1.7,45,57,1
0.9,3.3,79,62,1
1.6,7.4,113,71,1
3.9,18.2,263,94,1
5.0,27.7,275,99,1
4.3,18.3,263,119,1
2.7,12.3,183,103,1
2.1,8.9,147,95,1
2.1,10.4,132,95,1
-200.0,9.7,-200,-200,1
-200.0,12.8,-200,-200,1
-200.0,12.9,-200,-200,1
-200.0,8.9,-200,-200,1
-200.0,11.0,-200,-200,1
-200.0,12.6,-200,-200,1
-200.0,13.3,-200,-200,1
-200.0,18.1,-200,-200,1
-200.0,13.0,-200,-200,1
-200.0,7.8,-200,-200,1
-200.0,5.8,-200,-200,1
-200.0,4.7,-200,-200,1
-200.0,3.1,-200,-200,1
-200.0,2.1,-200,-200,1
-200.0,1.7,-200,-200,1
-200.0,1.3,-200,-200,1
-200.0,2.6,-200,-200,1
-200.0,7.9,-200,-200,1
-200.0,21.4,-200,-200,1
-200.0,22.1,-200,-200,1
3.9,19.1,309,114,1
3.8,17.3,327,127,1
3.8,17.5,299,135,1
3.9,17.0,257,135,1
3.5,17.0,195,120,1
4.0,19.5,231,129,1
3.0,14.8,170,114,1
3.1,14.0,192,129,1
5.2,24.4,251,149,1
5.9,28.1,289,149,1
7.3,33.7,351,158,1
6.1,24.2,319,148,1
4.6,19.8,264,134,1
2.5,9.3,144,111,1
2.2,7.3,119,106,1
2.0,7.1,120,108,1
1.9,6.7,96,93,1
1.6,6.0,77,83,1
1.0,2.7,-200,-200,1
1.0,3.6,63,69,1
1.2,5.4,97,77,1
2.0,10.0,180,87,1
4.5,23.2,352,109,1
4.1,18.7,279,116,1
2.6,9.9,186,105,1
2.3,10.2,169,106,1
2.6,11.0,172,108,1
2.4,10.5,127,100,1
4.3,18.9,230,149,1
4.6,18.9,280,148,1
4.0,17.5,242,126,1
4.7,17.7,250,140,1
5.7,23.0,309,142,1
5.2,20.4,270,141,1
6.4,26.8,323,149,1
6.0,19.9,307,140,1
3.4,12.5,224,117,1
2.7,9.6,166,103,1
3.1,10.0,171,99,1
2.6,8.1,169,100,1
2.2,7.1,120,88,1
1.9,6.4,103,83,1
-200.0,5.1,-200,-200,1
-200.0,3.0,-200,-200,1
-200.0,4.2,-200,-200,1
-200.0,5.1,-200,-200,1
-200.0,8.1,-200,-200,1
-200.0,8.8,-200,-200,1
-200.0,7.2,-200,-200,1
-200.0,9.2,-200,-200,1
-200.0,6.0,-200,-200,1
-200.0,5.0,-200,-200,1
-200.0,7.5,-200,-200,1
-200.0,3.9,-200,-200,1
-200.0,5.0,-200,-200,1
-200.0,5.4,-200,-200,1
-200.0,5.0,-200,-200,1
-200.0,5.5,-200,-200,1
-200.0,7.8,-200,-200,1
-200.0,8.2,-200,-200,1
-200.0,5.3,-200,-200,1
-200.0,7.9,-200,-200,1
-200.0,10.7,-200,-200,1
-200.0,6.9,-200,-200,1
-200.0,6.3,-200,-200,1
-200.0,5.6,-200,-200,1
-200.0,5.4,-200,-200,1
-200.0,3.2,-200,-200,1
-200.0,1.9,-200,-200,1
-200.0,2.3,-200,-200,1
-200.0,2.4,-200,-200,1
-200.0,2.9,-200,-200,1
-200.0,4.2,-200,-200,1
-200.0,6.8,-200,-200,1
-200.0,7.3,-200,-200,1
-200.0,5.3,-200,-200,1
-200.0,3.4,-200,-200,1
-200.0,3.4,-200,-200,1
-200.0,6.8,-200,-200,1
-200.0,7.0,-200,-200,1
-200.0,7.7,-200,-200,1
-200.0,8.5,-200,-200,1
-200.0,13.5,-200,-200,1
-200.0,9.2,-200,-200,1
-200.0,8.7,-200,-200,1
-200.0,6.6,-200,-200,1
-200.0,9.1,-200,-200,1
-200.0,7.8,-200,-200,1
-200.0,4.2,-200,-200,1
-200.0,3.4,-200,-200,1
-200.0,1.7,-200,-200,1
-200.0,2.1,-200,-200,1
-200.0,2.2,-200,-200,1
-200.0,6.9,-200,-200,1
-200.0,16.5,-200,-200,1
-200.0,18.7,-200,-200,1
-200.0,8.5,-200,-200,1
-200.0,6.8,-200,-200,1
-200.0,7.5,-200,-200,1
-200.0,10.9,-200,-200,1
-200.0,13.4,-200,-200,1
-200.0,7.9,-200,-200,1
-200.0,8.8,-200,-200,1
